trade_number,position_type,open_time,duration,sma_short_value,sma_long_value,sma_signal,macd_value,macd_long_value,macd_signal,rsi_value,rsi_signal,wallet
88,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,1916.576631802291
89,open,2024-07-29 03:15:00,0,68775.82219999997,68132.32675000002,buy,244.8602725929086,240.39827360631656,buy,58.52586185541716,neutral,1916.576631802291
89,close,2024-07-29 14:45:00,0,69483.11419999997,69234.34645000003,buy,-248.33975191735954,-206.0310864911066,sell,27.985168708513825,buy,1878.292070122507
90,open,2024-07-29 05:15:00,0,69203.78699999995,68325.21620000001,buy,57.71881234309694,54.873333213742626,buy,62.68531695673584,neutral,1878.292070122507
90,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,1840.483724051518
91,open,2024-07-29 05:20:00,0,69222.50699999994,68332.49625000001,buy,62.67751612927532,56.43416979684916,buy,60.73186535984662,neutral,1840.483724051518
91,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,1804.7991094778367
92,open,2024-07-29 05:25:00,0,69244.60299999994,68340.10020000002,buy,67.34718415401585,58.6167726682825,buy,61.66170433545604,neutral,1804.7991094778367
92,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,1768.8405669830347
93,open,2024-07-29 05:30:00,0,69267.56279999994,68347.82015000001,buy,74.64168549358146,61.821755233342294,buy,64.33362424801027,neutral,1768.8405669830347
93,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,1730.8206605432845
94,open,2024-07-29 05:35:00,0,69287.23339999994,68356.28010000002,buy,86.84516448619252,66.82643708391234,buy,68.29910292797929,neutral,1730.8206605432845
94,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1700.9587142332741
95,open,2024-07-29 05:40:00,0,69304.01319999994,68364.55500000002,buy,92.78332991359639,72.01781564984915,buy,65.48574001200355,neutral,1700.9587142332741
95,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1673.2101714582436
96,open,2024-07-29 05:45:00,0,69321.25339999994,68372.92445000002,buy,93.9062420870614,76.3955009372916,buy,62.867568124018504,neutral,1673.2101714582436
96,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1647.3915782455313
97,open,2024-07-29 05:50:00,0,69342.92899999995,68381.38440000002,buy,99.29990556099801,80.97638186203288,buy,66.1587988745061,neutral,1647.3915782455313
97,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1618.687851702139
98,open,2024-07-29 05:55:00,0,69364.05019999994,68389.93260000003,buy,99.52787659544265,84.68668080871484,buy,63.06876577283407,neutral,1618.687851702139
98,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1592.1394643504027
99,open,2024-07-29 06:00:00,0,69386.57019999994,68399.09260000003,buy,105.74696641905757,88.89873793078338,buy,67.19873201367744,neutral,1592.1394643504027
99,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1561.9542830137468
100,open,2024-07-29 06:05:00,0,69409.62539999993,68407.85630000003,buy,105.32526224759931,92.18404279414656,buy,62.882610673101546,neutral,1561.9542830137468
100,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1534.6170157698728
101,open,2024-07-29 06:10:00,0,69429.14519999993,68416.03630000002,buy,94.4819867600163,92.64363158732051,buy,54.32490554976888,neutral,1534.6170157698728
101,close,2024-07-29 14:05:00,0,69598.23499999997,69204.45610000002,buy,-171.21169996770914,-71.93401737561268,sell,26.35606967560421,buy,1502.3292818001378
102,open,2024-07-29 06:20:00,0,69469.14339999993,68434.29495000002,buy,97.30239759580581,93.2568224913492,buy,64.07603425814162,neutral,1502.3292818001378
102,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1472.2301371817716
103,open,2024-07-29 06:25:00,0,69482.86339999993,68443.27845000003,buy,103.48473380967334,95.30240475501402,buy,65.11820491260573,neutral,1472.2301371817716
103,close,2024-07-29 14:00:00,0,69612.71499999997,69200.36615000003,buy,-132.82976899316418,-47.11459672758857,sell,28.383579089401618,buy,1441.644716508617
104,open,2024-07-29 06:30:00,0,69491.31319999993,68451.69510000003,buy,96.93750738110975,95.62942528023316,buy,56.4630749359583,neutral,1441.644716508617
